CNTSCHID,CNTSTUID,ST001D01T,ST003D02T,ST003D03T,ST004D01T,ST250D06JA,ST250D07JA,PV1MATH,PV1READ,PV1SCIE
76400003,76407517,10,8,2006,1,7640001,7640002,428.757,415.324,410.969
76400003,76407831,10,5,2007,1,7640002,7640002,423.394,362.978,422.493
76400003,76407919,10,10,2006,2,7640001,7640001,408.629,357.667,384.495
76400003,76408557,10,3,2007,1,7640001,7640002,539.915,382.789,537.265
76400003,76408578,10,11,2006,1,7640001,7640001,443.991,382.444,487.682
76400003,76408627,10,8,2006,2,7640002,7640002,526.567,436.648,473.217
76400003,76408682,9,10,2006,1,7640002,7640002,459.646,407.545,505.009
76400003,76408830,10,11,2006,2,7640001,7640002,435.782,397.649,403.471
76400003,76408914,10,9,2006,2,7640001,7640002,459.329,370.902,409.043
76400003,76408920,10,10,2006,1,7640001,7640002,448.083,467.412,367.305
76400003,76408951,10,3,2007,1,7640002,7640002,510.719,417.18,456.792
76400003,76409042,10,1,2007,2,7640001,7640001,455.16,385.302,479.99
76400003,76409071,10,11,2006,1,7640001,7640002,464.568,416.858,456.955
76400003,76409110,10,4,2007,1,7640001,7640002,403.859,361.813,373.371
76400004,76400689,10,4,2007,1,7640001,7640001,563.586,515.459,586.578
76400004,76400799,10,8,2006,1,7640001,7640002,626.816,566.893,574.679
76400004,76400921,10,3,2007,1,7640002,7640002,583.539,486.876,604.885
76400004,76401043,9,3,2007,2,7640002,7640002,599.724,447.617,548.662
76400004,76401594,9,1,2007,1,7640001,7640002,576.162,561.491,561.35
76400004,76401843,10,11,2006,1,7640001,7640002,451.404,414.757,449.689
76400004,76401954,10,9,2006,1,7640002,7640002,582.287,543.513,603.726
76400004,76402009,10,9,2006,1,7640001,7640001,564.767,568.607,542.217
76400004,76402265,10,7,2006,2,7640001,7640001,676.104,660.334,675.751
76400004,76402339,10,11,2006,1,7640001,7640002,600.156,586.659,564.91
76400004,76402397,10,11,2006,1,7640002,7640002,544.994,521.046,537.162
76400004,76402433,10,2,2007,2,7640001,7640002,518.916,525.72,539.074
76400004,76403163,10,3,2007,1,7640002,7640002,586.927,400.724,528.283
76400004,76403440,10,8,2006,2,7640001,7640001,618.727,565.257,609.42
76400004,76403998,10,9,2006,2,7640002,7640001,344.084,299.833,328.98
76400004,76404189,10,3,2007,2,7640001,7640001,605.789,523.842,635.65
76400004,76404322,10,6,2006,2,7640002,7640002,543.113,466.008,532.778
76400004,76405434,10,7,2006,2,7640002,7640002,567.183,569.147,579.687
76400004,76405456,10,12,2006,1,7640001,7640002,616.607,585.791,571.877
76400004,76405486,10,12,2006,2,7640001,7640002,602.149,611.556,620.123
76400004,76405554,10,2,2007,1,7640001,7640002,560.115,511.928,553.424
76400004,76405571,10,4,2007,1,7640002,7640001,631.975,598.873,626.592
76400004,76405593,10,7,2006,2,7640002,7640002,593.403,503.014,534.385
76400004,76405651,10,10,2006,1,7640001,7640002,470.506,386.941,491.852
76400004,76405747,10,1,2007,2,7640002,7640001,553.833,447.253,496.563
76400004,76405962,10,11,2006,2,7640001,7640002,515.563,465.027,497.767
76400004,76406002,10,4,2007,1,7640001,7640001,414.356,385.29,475.792
76400004,76406069,9,2,2007,1,7640001,7640002,619.789,534.439,568.961
76400004,76406098,10,4,2007,1,7640001,7640002,479.406,504.507,480.367
76400004,76406350,10,10,2006,2,7640002,7640002,598.983,597.93,607.317
76400004,76406399,10,8,2006,2,7640001,7640001,598.533,516.772,522.337
76400004,76406421,11,8,2006,2,7640001,7640002,604.202,597.946,594.99
76400004,76406680,10,6,2006,2,7640001,7640002,498.532,374.573,539.388
76400004,76407379,10,10,2006,2,7640001,7640002,566.888,469.264,560.28
76400004,76407659,10,3,2007,1,7640001,7640001,598.064,528.663,608.94
76400004,76407839,10,6,2006,1,7640002,7640001,635.325,606.111,562.746
76400004,76407914,10,1,2007,1,7640001,7640002,619.165,609.34,592.777
76400004,76408345,11,8,2006,1,7640001,7640002,558.838,518.105,553.208
76400004,76408617,10,8,2006,1,7640001,7640002,561.606,506.703,518.162
76400004,76408737,10,10,2006,2,7640002,7640002,559.577,517.024,555.34
76400004,76408981,10,6,2006,1,7640001,7640001,575.658,588.996,569.469
76400005,76400167,10,1,2007,2,7640001,7640002,405.378,306.138,369.818
76400005,76400170,10,12,2006,1,7640002,7640002,368.058,392.396,528.811
76400005,76400559,9,5,2007,2,7640002,7640002,386.81,243.452,335.667
76400005,76400623,10,1,2007,2,7640002,7640002,424.023,415.485,403.776
76400005,76400827,10,10,2006,1,7640002,7640002,473.771,430.668,483.874
76400005,76401380,10,4,2007,2,7640001,7640002,382.269,288.58,385.748
76400005,76401413,10,6,2006,2,7640002,7640002,433.872,427.879,450.147
76400005,76401798,10,8,2006,2,7640002,7640002,418.827,337.51,426.829
76400005,76402048,10,8,2006,1,7640001,7640002,219.235,293.874,280.951
76400005,76402143,10,3,2007,1,7640001,7640002,411.695,317.345,340.88
76400005,76402185,11,9,2006,2,7640001,7640002,383.779,406.281,436.424
76400005,76402262,10,11,2006,1,7640001,7640002,384.902,360.793,396.486
76400005,76403252,10,9,2006,1,7640001,7640002,373.198,421.615,451.49
76400005,76403635,10,9,2006,1,7640001,7640002,452.696,471.535,484.602
76400005,76404001,10,11,2006,1,7640001,7640002,385.862,416.031,398.755
76400005,76404480,10,7,2006,1,7640002,7640002,375.997,411.634,409.198
76400005,76404640,10,10,2006,2,7640001,7640002,434.369,356.757,452.9
76400005,76405313,10,12,2006,1,7640001,7640002,467.62,372.305,498.478
76400005,76405816,10,6,2006,2,7640002,7640002,402.134,362.291,425.583
76400005,76405854,10,12,2006,2,7640001,7640002,427.014,411.127,471.689
76400005,76406506,10,10,2006,2,7640002,7640002,386.332,337.015,427.708
76400005,76406728,9,3,2007,2,7640002,7640002,294.683,344.219,223.169
76400005,76406745,10,11,2006,1,7640001,7640002,506.784,616.528,543.041
76400005,76407275,10,7,2006,2,7640001,7640002,364.369,275.206,333.196
76400005,76407491,10,6,2006,1,7640002,7640002,354.238,378.261,424.128
76400005,76407533,10,5,2007,2,7640001,7640002,431.216,446.792,530.357
76400005,76407933,11,11,2006,1,7640002,7640002,505.829,540.601,494.796
76400005,76408101,10,5,2007,1,7640001,7640002,413.145,372.531,408.292
76400005,76408143,10,4,2007,2,7640001,7640001,393.747,436.462,413.444
76400005,76408254,10,11,2006,1,7640001,7640002,374.431,335.287,374.765
76400005,76408296,9,12,2006,1,7640001,7640002,376.7,338.809,303.858
76400005,76408379,10,9,2006,2,7640001,7640002,368.092,386.528,419.935
76400005,76408500,10,1,2007,1,7640001,7640002,403.591,329.142,375.948
76400005,76408674,10,5,2007,1,7640001,7640002,368.739,349.016,308.685
76400005,76408918,10,2,2007,2,7640001,7640002,320.53,272.694,359.702
76400006,76401443,10,6,2006,2,7640001,7640002,380.431,389.861,448.974
76400006,76402984,10,4,2007,2,7640001,7640002,343.063,345.523,361.512
76400006,76404171,10,10,2006,2,7640002,7640002,343.78,392.834,398.64
76400006,76405107,9,4,2007,2,7640001,7640002,427.706,358.651,345.982
76400006,76406110,10,6,2006,2,7640001,7640002,406.22,369.245,424.21
76400006,76406254,10,7,2006,2,7640001,7640002,317.858,306.192,333.326
76400006,76408855,10,5,2007,1,7640001,7640001,341.239,326.003,380.783
76400006,76409038,10,2,2007,1,7640001,7640002,368.364,307.174,415.577
76400007,76400373,10,11,2006,1,7640002,7640002,502.329,530.228,522.198
76400007,76400392,10,12,2006,1,7640001,7640002,420.543,476.467,501.257
76400007,76400476,10,10,2006,1,7640001,7640002,432.741,390.62,481.768
76400007,76400659,10,8,2006,1,7640001,7640002,472.027,549.677,429.538
76400007,76400787,9,5,2007,1,7640001,7640002,409.424,404.794,451.394
76400007,76400895,10,3,2007,1,7640001,7640002,449.906,503.455,485.502
76400007,76401418,10,4,2007,1,7640001,7640002,344.566,377.08,371.585
76400007,76401697,10,2,2007,1,7640002,7640002,359.216,342.075,399.542
